%   Sat Jul 01 2017 11:04:20 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                STRING
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina, caixa barra de proteina}

@data
152.99, 129.99, 6114, Integralmedica, whey
199, 129.9, 845, Integralmedica, whey
59.9, 59.9, 507, Atlhetica Nutrition, whey
68, 68, 2476, Optimum Nutrition, whey
68.9, 68.9, 849, Optimum Nutrition, whey
168.99, 149.99, 2567, Max Titanium, whey
209.12, 119.99, 415, Integralmedica, whey
79.9, 79.9, 6037, Perfect Labs, whey
48.98, 48.98, 1353, Integralmedica, whey
69.9, 69.9, 1152, Max Titanium, whey
129, 89, 1650, Atlhetica Nutrition, whey
132.56, 132.56, 335, BodyAction, whey
59, 59, 862, WHEY ONLY, whey
98.8, 98.8, 1178, Giants Nutrition, whey
174.9, 174.9, 2028, Optimum Nutrition, whey
229.9, 229.9, 1813, Optimum Nutrition, whey
99.9, 99.9, 1134, Atlhetica Nutrition, whey
149.9, 149.9, 611, Optimum Nutrition, whey
149.9, 129.9, 2249, Max Titanium, whey
89, 89, 603, Probiotica, whey
349.9, 249.9, 654, Integralmedica, whey
199, 169, 254, Optimum Nutrition, whey
120, 120, 587, Max Titanium, whey
59.9, 59.9, 284, Atlhetica Nutrition, whey
99.9, 99.9, 455, Optimum Nutrition, whey
169.4, 169.4, 398, Probiotica, whey
169.66, 169.66, 644, Integralmedica, whey
58, 58, 1427, Infinity Labs, whey
169.4, 169.4, 236, Probiotica, whey
99.89, 99.89, 229, Pandora, whey
130.41, 130.41, 190, Max Titanium, whey
125, 125, 759, New Millen, whey
249.1, 179.1, 484, Atlhetica Nutrition, whey
199.9, 199.9, 248, Optimum Nutrition, whey
147.99, 147.99, 190, BodyAction, whey
120.01, 120.01, 276, Max Titanium, whey
170, 170, 643, Max Titanium, whey
159.9, 159.9, 740, BodyAction, whey
379.9, 379.9, 160, Optimum Nutrition, whey
139.9, 139.9, 419, Max Titanium, whey
89.9, 89.9, 485, Optimum Nutrition, whey
69.9, 69.9, 438, Atlhetica Nutrition, whey
237.46, 164.9, 99, Integralmedica, whey
99.9, 99.9, 254, Atlhetica Nutrition, whey
199.9, 199.9, 477, Optimum Nutrition, whey
249, 179.1, 1263, Integralmedica, whey
73.8, 73.8, 193, Probiotica, whey
229.9, 189.9, 719, Max Titanium, whey
129.9, 129.9, 973, Integralmedica, whey
67.18, 67.18, 326, BodyAction, whey
84.92, 84.92, 85, Integralmedica, whey
39.8, 39.8, 667, Integralmedica, whey
164.99, 164.99, 315, Atlhetica Nutrition, whey
59.9, 59.9, 138, Atlhetica Nutrition, whey
149, 99.9, 317, Profit Labs, whey
229.9, 169.9, 572, Integralmedica, whey
68.4, 68.4, 635, Probiotica, whey
169, 169, 132, Atlhetica Nutrition, whey
68.4, 68.4, 819, Probiotica, whey
229.9, 161.5, 110, Integralmedica, whey
249.9, 249.9, 158, Optimum Nutrition, whey
406, 406, 14, Optimum Nutrition, whey
120, 120, 72, Integralmedica, whey
149, 149, 1, Probiotica, whey
159.9, 159.9, 273, Optimum Nutrition, whey
159, 159, 382, Max Titanium, whey
359.9, 359.9, 389, Optimum Nutrition, whey
74.5, 74.5, 107, Atlhetica Nutrition, whey
189, 189, 241, Probiotica, whey
149.9, 149.9, 203, BodyAction, whey
68.4, 68.4, 322, Probiotica, whey
149.9, 149.9, 48, Integralmedica, whey
